Numero,Disciplina,Enunciado,Prop_01,Prop_02,Prop_04,Prop_08,Prop_16,Prop_32,Prop_64,Gabarito
1,PORTUGUÊS,"Com base no texto 1 e de acordo com a variedade padrão da língua escrita, é correto afirmar que:","o trecho 'no que afeta ou não afeta diretamente nossas vidas e nossos hábitos' (linhas 03-04) explica a expressão que dá mote ao texto 1.","em 'são, mesmo, extremos opostos, a extrema angústia do desconhecido e o extremo conforto do familiar' (linhas 10-11), os termos em destaque são advérbios intensificadores dos termos a que se referem.","'Entreouvida' (linha 01) é um neologismo formado pela junção de dois verbos.","em 'Não sei se é uma frase feita' (linhas 01-02), a expressão sublinhada equivale a 'clichê'.","o trecho 'aqueles furos no universo em que a matéria desaparece' (linha 06) é aposto de 'buracos negros'.","em 'coisas da vizinhança próxima que parecem não ter nada a ver com nossas vidas têm muito' (linhas 15-16), o verbo sublinhado está flexionado no plural para concordar com o sujeito 'nossas vidas'.",,25
2,PORTUGUÊS,"Com base no texto 1 e de acordo com a variedade padrão da língua escrita, é correto afirmar que:","a tese do texto é a crítica à prática do turismo sexual no Brasil.","em 'Mas da mesma forma que estes extremos não estão tão longe assim' (linha 13), a expressão sublinhada está no plural para retomar 'Os buracos negros' (linha 10).","a retomada por Stephen Hawking de leis da física evidencia que o conhecimento científico passa por revisão.","'moral' (linha 20) e 'amoral' (linha 25) são adjetivos formados pelo acréscimo de sufixo 'al', à semelhança das palavras 'ilegal' (linha 22) e 'sexual' (linha 23).","o texto 1 estabelece uma relação de antítese entre 'buracos negros' e 'café com leite'.","em 'contas ofishór' (linhas 17-18), o termo sublinhado é o registro de um estrangeirismo grafado conforme sua pronúncia em língua portuguesa.",,52
3,PORTUGUÊS,"Com base nos textos 1 e 2 e de acordo com a variedade padrão da língua escrita, é correto afirmar que:","o texto 1 vincula a palavra 'bárbaro' ao sentido de barbárie, já o texto 2 explora a ambiguidade do termo, da qual se depreende seu efeito de humor.","'Que absurdo!' e 'Que bárbaro!', no texto 2, são interjeições que expressam surpresa e admiração, respectivamente.","no segundo quadro do texto 2, o termo 'o que' exerce a função de predicativo e tem referência indeterminada.","no terceiro quadro do texto 2, a frase 'Que bárbaro!' expressa a empolgação da personagem em relação a um novo conceito de verdade.","no trecho 'Muito mais bárbaro do que você imagina', no texto 2, o adjetivo 'bárbaro' está flexionado, comparando a realidade dada na tirinha com o que se supõe ser imaginado pelo interlocutor.",,,27
4,PORTUGUÊS,"Com base no texto 3 e na leitura integral da obra Velhos... é correto afirmar que:","embora o título explore diferentes sentidos de 'desculpas', a leitura integral do texto 3 enfatiza o emprego do termo mais como uma justificativa para a violência do que como uma retratação.","a ênfase das narrativas que compõem Velhos recai sobre as mazelas do envelhecimento e a situação degradante em que vivem os idosos no Brasil.","a precisão e a concisão dos contos que integram Velhos estão presentes inclusive nos títulos, formados por uma única palavra.","o fragmento 'Dois dentes quebrados, três costelas fraturadas...' (linhas 07-08) retoma o protagonista por metonímia.","no texto 3, ocorre a interação de diversos fatores sociais, como faixa etária, gênero, classe, formação acadêmica e atuação profissional, que definem a personagem, mas todos se revelam subordinados a questões étnico-raciais.","a autora subverte as regras de paragrafação ao eliminar o recuo para sinalizar os diálogos entre as personagens.",,29
5,PORTUGUÊS,"Com base no texto 4 e na leitura integral da obra A alma encantadora das ruas... é correto afirmar que:","no emprego da vírgula antes da forma verbal 'é' (linhas 02 e 03), o autor subverte as normas gramaticais, separando sujeito de predicado.","o narrador do texto 4 estabelece uma relação entre escrita e cidade, assim aquilo que viceja é a poesia que percorre ruas e quadras.","a ausência de acento gráfico em 'vates' (linha 06), 'versejadores' (linha 07) e 'nefelibatas' (linha 07) restringe cada palavra a uma única possibilidade de pronúncia com relação à tonicidade.","João do Rio é considerado pioneiro da crônica-reportagem, dado o procedimento incomum à época de escrever matérias reais em forma de crônicas.","a não compreensão do significado das palavras 'vates', 'versejadores' e 'nefelibatas' impossibilita o estabelecimento das relações sintáticas.",,,14
6,PORTUGUÊS,"Com base nos textos 5 e 6, na leitura integral da obra O mez da grippe... é correto afirmar que:","a polifonia do enredo é marcada pelo ponto de vista de documentos oficiais, do jornal Commercio do Paraná, do jornal Diário da Tarde, da D. Lúcia, dentre outras vozes.","a estrutura da narrativa é em forma de diário, marcada pela divisão nos meses outubro, novembro e dezembro de 1918.","se trata de uma obra de ficção histórica, composta principalmente pela colagem de notícias, propagandas... em que o leitor é o responsável por reestabelecer o fio narrativo entre eles.","no texto 5, o espaço em branco destinado à notícia sobre a influenza é uma homenagem ao número de vidas perdidas para a doença.","da ortografia da língua portuguesa do início do século XX, registrada no texto 6, depreende-se que a língua passa por mudanças.","o que no texto 6 é identificado como boato na epidemia da gripe espanhola pode ser relacionado ao que foi chamado de fake news na epidemia da covid-19.","a obra tem como tema principal os acontecimentos do final da Primeira Guerra Mundial, tendo como pano de fundo o surto da gripe espanhola ocorrido na Curitiba de 1918.",55
7,PORTUGUÊS,"Com base no texto 7 (Charge sobre censura) e de acordo com a variedade padrão da língua escrita, é correto afirmar que:","a remoção das charges sobre censura e sua justificativa evidenciam que uma exposição sobre esse tema é desnecessária por não haver censura.","o emprego da forma no gerúndio indica que o evento descrito ocorre simultaneamente ao momento da fala.","as diferentes formas 'Por que' e 'Porque' indicam uma relação de causa e consequência.","a ironia na resposta à pergunta é reforçada pelos elementos do texto não verbal.","a preposição 'sobre' relaciona os termos 'as charges' e 'censura' com ideia de lugar.","o emprego da forma verbal 'estão' indica que a censura é um ato para além do sujeito que executa a ação de retirar o cartaz.",,42
8,PORTUGUÊS,"Com base no texto 8, na leitura integral da obra O ano em que meus pais saíram de férias... é correto afirmar que:","no texto 8, o emprego da vírgula na frase 'Mauro, maravilhado.' (linha 05) marca a elipse do verbo em uma relação predicativa.","no texto 8, a flexão verbal no tempo presente marca os acontecimentos que integram a cena, enquanto a flexão no passado, aqueles que se localizam em um momento anterior à cena.","no texto 8, o Rabino Samuel 'desfere um tapa na cabeça' (linha 12) de Mauro por o garoto demonstrar devoção ao goleiro.","no texto 8, a forma verbal 'seguem-se' (linha 09) está no plural por o sujeito da sentença ser 'cenas entrecortadas do jogo' (linha 09).","no texto 8, o desejo de Mauro de ser 'negro' e 'voador' (linha 18), na cena narrada, é antigo, como evidencia a flexão de tempo passado no verbo 'querer'.","a cena do jogo, descrita no texto 8, se torna importante para Mauro por marcar o momento tão esperado do retorno de sua mãe.","Edgar é apresentado no roteiro como um símbolo de resistência à ditadura, com a representação do goleiro que defende tudo...",09
9,PORTUGUÊS,"Com base nos textos 8 e 9 e de acordo com a variedade padrão da língua escrita, é correto afirmar que:","no texto 8, a passagem do tempo é marcada pela sequência dos acontecimentos descritos, enquanto no texto 9 se dá pela relação entre a linguagem verbal e a não verbal.","os textos afirmam a capacidade técnica dos dois goleiros para evitar a marcação de gols.","o pronome 'isso' retoma o termo 'calma', expressando a ideia de que a função de um goleiro é transmitir calma tanto aos jogadores quanto à torcida.","a pontuação antes e depois de 'Dudu' isola o sujeito da oração.","no texto 9, as letras em destaque no primeiro e no terceiro quadro são empregadas como um recurso para indicar o desespero do goleiro, contrastando com a fala dos espectadores.","o emprego do verbo 'ir', no primeiro quadro, indica marcação de tempo futuro.",,49
10,PORTUGUÊS,"Com base no texto 10 e na leitura integral da obra Úrsula... é correto afirmar que:","os termos pronominais 'ele' (linhas 03 e 04) retomam a mesma personagem, referida por 'hóspede' (linha 02).","o texto 10 retrata aquilo que acaba por ser uma importante dimensão do romance: a profunda cisão do sistema escravagista e a desumanização que o acompanha.","o emprego de itálico nas duas passagens do texto 10 (linhas 10 e 11) marca uso da linguagem conotativa, utilizada para a construção subjetiva das personagens.","publicada em pleno Romantismo, a obra incorpora a idealização dos protagonistas, a valorização da natureza e a dramatização das ações.","em 'aquilo que Deus lhe dera' (linha 14), a referência religiosa reforça a crença de Túlio no candomblé.",,,11
